FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor,x,y
60,160,Calle Arjona,Puente de Triana,37.387516,-6.001927,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668131.5,4493260.1
61,31,Avenida de Miraflores,Calle Albaida,37.400414,-5.979831,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665671.699999999,4495067.3
62,161,Avenida Alcalde Manuel del Valle,Calle Baltasar de Alcázar,37.399986,-5.969145,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664482.199999999,4495007.3
63,32,Calle Muñoz León,Calle Morera,37.402061,-5.986304,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666392.300000001,4495298.1
64,162,Avenida Solea,Calle Media Granaína,37.391525,-5.968482,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664408.399999999,4493821.7
65,33,Calle León XIII,Calle Antonio Pantión,37.401531,-5.983708,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666103.300000001,4495223.8
66,34,Plaza Pumarejo,Calle San Luis,37.400932,-5.988557,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666643.100000001,4495139.9
67,163,Calle Sinaí,Calle Baltazar Gracián,37.389927,-5.970793,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664665.600000001,4493597.8
68,35,Alameda de Hercules,Calle Peris Mencheta,37.400818,-5.993774,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667223.899999999,4495123.9
69,36,Calle San Vicente,Calle Guadalquivir,37.400543,-5.998318,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667729.699999999,4495085.3
70,164,Calle Luis Montoto,Calle El Greco,37.387638,-5.965657,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664093.899999999,4493277.1
71,165,Avenida de Andalucia,Centro Comercial Los Arcos,37.387638,-5.961011,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663576.699999999,4493277.1
72,37,Alameda de Hércules,Calle Vulcano,37.398609,-5.99357,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667201.199999999,4494814.3
