FID,LAYER,NUMERO,AROS,INSTALADO,CreationDate,Creator,EditDate,Editor,x,y
221,TRIANA,139,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668551.800000001,4491691.8
222,CASCO_ANTIGUO,46,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666979.399999999,4494898.7
223,MACARENA_NORTE,498,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666520.100000001,4498791.6
224,BELLAVISTA_LA PALMERA,457,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664290.5,4484579.4
225,TRIANA,148,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668987.899999999,4492313.1
226,MACARENA_NORTE,499,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666416.699999999,4498787.9
227,BELLAVISTA_LA PALMERA,452,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666376.300000001,4490038
228,CASCO_ANTIGUO,95,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666580.699999999,4494779.9
229,CASCO_ANTIGUO,287,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666158.899999999,4493707.6
230,MACARENA_NORTE,543,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664366.5,4497574.7
231,NERVION,289,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665603.600000001,4493768
232,MACARENA,182,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665229.5,4495668.7
233,CASCO_ANTIGUO,47,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666570.5,4494720.9
234,BELLAVISTA_LA PALMERA,450,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666745.300000001,4490593
235,MACARENA_NORTE,474,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664501.899999999,4496930.5
236,NERVION,288,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665672.600000001,4493691.4
237,MACARENA,226,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666742.300000001,4495844.7
238,BELLAVISTA_LA PALMERA,357,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665843.899999999,4487659.6
239,CASCO_ANTIGUO,39,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666551.199999999,4494516.7
240,NERVION,290,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665503.300000001,4493182.8
241,MACARENA,476,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664753.5,4496092.5
242,MACARENA,298,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664738.300000001,4495592.2
243,CASCO_ANTIGUO,50,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666191.300000001,4494884
